n_blocks,insert_bps,erase_bps
423,4.07736e+07,2.1e+07
423,4.07736e+07,1.31818e+07
423,4.07736e+07,2.4575e+08
425,1.73333e+07,2.4575e+08
427,500000,2.4575e+08
429,2.66471e+07,2.4575e+08
431,1.28111e+08,2.4575e+08
431,1.28111e+08,3.89211e+07
431,1.28111e+08,7.6e+07
433,2.632e+08,7.6e+07
435,4.10417e+07,7.6e+07
435,4.10417e+07,3.314e+08
437,8.39583e+06,3.314e+08
439,2.118e+08,3.314e+08
439,2.118e+08,2.62e+08
441,2.44762e+07,2.62e+08
443,6.50303e+07,2.62e+08
443,6.50303e+07,2.60455e+07
445,2.14186e+07,2.60455e+07
445,2.14186e+07,8.93043e+07
445,2.14186e+07,4.435e+07
447,3.952e+07,4.435e+07
447,3.952e+07,6.5e+07
449,3.31698e+07,6.5e+07
451,9.64286e+06,6.5e+07
451,9.64286e+06,1.47222e+07
451,9.64286e+06,1.21765e+07
453,3.804e+07,1.21765e+07
455,4.485e+07,1.21765e+07
455,4.485e+07,1.63083e+08
455,4.485e+07,1.29792e+07
457,3.93953e+07,1.29792e+07
459,2.32826e+07,1.29792e+07
459,2.32826e+07,7.59474e+07
459,2.32826e+07,9e+06
459,2.32826e+07,4.56e+07
461,3.3e+07,4.56e+07
463,3.10455e+07,4.56e+07
463,3.10455e+07,3.59524e+06
463,3.10455e+07,2.112e+07
465,5.22059e+07,2.112e+07
465,5.22059e+07,3.82083e+07
467,4.18e+07,3.82083e+07
467,4.18e+07,1.9375e+08
467,4.18e+07,1.88333e+07
469,1.64848e+07,1.88333e+07
469,1.64848e+07,6.51852e+06
469,1.64848e+07,1.318e+07
471,3.10444e+07,1.318e+07
473,1.87755e+06,1.318e+07
473,1.87755e+06,1.005e+08
475,3.80545e+07,1.005e+08
477,4.09434e+06,1.005e+08
477,4.09434e+06,2.75e+07
479,1.17765e+08,2.75e+07
479,1.17765e+08,3.492e+08
481,1.99167e+07,3.492e+08
480,1.99167e+07,1.64864e+08
482,1.43966e+08,1.64864e+08
482,1.43966e+08,1.34048e+07
484,1.51786e+07,1.34048e+07
484,1.51786e+07,4.74286e+07
486,8.39032e+07,4.74286e+07
486,8.39032e+07,5.08103e+07
488,5.33043e+07,5.08103e+07
490,1.05933e+08,5.08103e+07
492,128205,5.08103e+07
492,128205,2.54348e+07
492,128205,5.19643e+07
494,8.22414e+06,5.19643e+07
496,2.11774e+07,5.19643e+07
496,2.11774e+07,1.0076e+08
496,2.11774e+07,5.15e+07
498,4.01739e+07,5.15e+07
498,4.01739e+07,4.16316e+07
500,4.02571e+08,4.16316e+07
500,4.02571e+08,2.16122e+07
500,4.02571e+08,1.49062e+07
502,9.55172e+06,1.49062e+07
500,9.55172e+06,5.305e+07
502,4.80645e+06,5.305e+07
504,1.71111e+07,5.305e+07
504,1.71111e+07,4.15833e+07
506,1.09175e+07,4.15833e+07
506,1.09175e+07,8.02326e+06
508,5.3127e+07,8.02326e+06
507,5.3127e+07,1.24833e+08
507,5.3127e+07,5.74167e+07
509,1.12167e+07,5.74167e+07
509,1.12167e+07,1.66889e+08
511,1.32857e+08,1.66889e+08
513,9.51852e+06,1.66889e+08
511,9.51852e+06,6.04286e+07
513,1.97917e+08,6.04286e+07
513,1.97917e+08,1.10222e+08
515,3.62319e+06,1.10222e+08
517,2.24571e+07,1.10222e+08
516,2.24571e+07,4.10167e+08
518,4.67636e+07,4.10167e+08
518,4.67636e+07,3.44138e+07
520,5.63529e+07,3.44138e+07
520,5.63529e+07,1.48e+08
522,5.61364e+07,1.48e+08
522,5.61364e+07,7.94545e+06
522,5.61364e+07,1.27391e+07
524,5.21277e+07,1.27391e+07
524,5.21277e+07,3.26596e+07
526,2.0625e+07,3.26596e+07
526,2.0625e+07,3.67021e+07
528,6.21429e+06,3.67021e+07
530,1.70308e+08,3.67021e+07
530,1.70308e+08,3e+07
530,1.70308e+08,2.195e+08
532,8.26154e+07,2.195e+08
534,2.09333e+06,2.195e+08
534,2.09333e+06,2.3125e+07
536,4.9913e+07,2.3125e+07
536,4.9913e+07,2.09219e+07
536,4.9913e+07,1.59565e+07
538,8.87143e+07,1.59565e+07
537,8.87143e+07,2.44118e+07
539,1.50429e+08,2.44118e+07
541,3.38485e+07,2.44118e+07
541,3.38485e+07,1.78471e+07
543,3.66486e+07,1.78471e+07
543,3.66486e+07,1.86e+07
545,2.27619e+07,1.86e+07
545,2.27619e+07,9.3125e+07
547,3.31176e+07,9.3125e+07
547,3.31176e+07,196429
547,3.31176e+07,122449
549,1.38375e+08,122449
549,1.38375e+08,6.94286e+07
551,2.66949e+07,6.94286e+07
551,2.66949e+07,1.94634e+07
551,2.66949e+07,8.54545e+06
551,2.66949e+07,2.52113e+06
553,4.26047e+07,2.52113e+06
553,4.26047e+07,1.87059e+07
553,4.26047e+07,6.29167e+07
555,1.20818e+08,6.29167e+07
555,1.20818e+08,1.71837e+07
555,1.20818e+08,2.04681e+07
557,5.46364e+07,2.04681e+07
557,5.46364e+07,1.34681e+07
559,5.24038e+07,1.34681e+07
559,5.24038e+07,1.93778e+08
561,1.50156e+07,1.93778e+08
563,2.18056e+06,1.93778e+08
562,2.18056e+06,5.636e+07
564,2.40147e+07,5.636e+07
566,2.25362e+07,5.636e+07
566,2.25362e+07,2.10755e+07
568,1.82353e+06,2.10755e+07
568,1.82353e+06,6.9037e+07
570,1.57e+08,6.9037e+07
570,1.57e+08,1.83788e+07
572,2.95469e+07,1.83788e+07
572,2.95469e+07,1.59592e+07
572,2.95469e+07,8.1e+07
572,2.95469e+07,2.85517e+07
572,2.95469e+07,2.92857e+06
572,2.95469e+07,1.40667e+07
574,1.264e+08,1.40667e+07
574,1.264e+08,1.88909e+07
573,1.264e+08,3.80938e+07
575,5.9e+07,3.80938e+07
575,5.9e+07,5.80526e+07
577,3.29091e+07,5.80526e+07
577,3.29091e+07,1.11053e+07
577,3.29091e+07,1.83333e+07
577,3.29091e+07,5.30625e+07
579,3.8475e+08,5.30625e+07
579,3.8475e+08,1.37033e+07
579,3.8475e+08,3.85135e+06
581,9.20833e+06,3.85135e+06
583,7.19487e+07,3.85135e+06
582,7.19487e+07,2.92e+08
582,7.19487e+07,5.96078e+06
580,7.19487e+07,2.51905e+07
582,6.83913e+07,2.51905e+07
584,4.01129e+07,2.51905e+07
584,4.01129e+07,4.41731e+07
584,4.01129e+07,4.09091e+06
586,3.63913e+07,4.09091e+06
588,1.64706e+07,4.09091e+06
588,1.64706e+07,3.7575e+07
587,1.64706e+07,5.71944e+07
589,6.4e+07,5.71944e+07
588,6.4e+07,2.37931e+07
590,1.56104e+07,2.37931e+07
590,1.56104e+07,4.55714e+07
592,5.91692e+07,4.55714e+07
592,5.91692e+07,3.19104e+07
592,5.91692e+07,1.79231e+07
592,5.91692e+07,1.25e+09
594,2.95e+08,1.25e+09
594,2.95e+08,2.38889e+07
594,2.95e+08,1.51e+07
596,5.34359e+07,1.51e+07
598,409091,1.51e+07
600,108108,1.51e+07
600,108108,1.57812e+08
602,7.61429e+06,1.57812e+08
602,7.61429e+06,1.16296e+07
604,2.96986e+07,1.16296e+07
604,2.96986e+07,6.274e+08
606,1.70909e+07,6.274e+08
608,3.42857e+06,6.274e+08
610,2.53e+07,6.274e+08
610,2.53e+07,1.46053e+07
612,3.15526e+07,1.46053e+07
614,2.48333e+07,1.46053e+07
614,2.48333e+07,2.20652e+07
616,2.71e+07,2.20652e+07
616,2.71e+07,3.80333e+07
618,1.40091e+08,3.80333e+07
620,1.44615e+06,3.80333e+07
